STT,Ngay_Dang,Nen_Tang,Chu_De,Noi_Dung_Tom_Tat,So_Luot_Thich,So_Binh_Luan,So_Chia_Se,So_Luot_Xem,Loai_Noi_Dung
1,2024-06-17,LinkedIn,Chuyên Môn Marketing,3 chỉ số marketing mình xem mỗi sáng: CTR CPC và Conversion Rate,187,42,28,4520,text
2,2024-06-18,Facebook,Câu Chuyện Nghề,Lần đầu chạy ads mất 10 triệu không có đơn - bài học đắt giá nhất sự nghiệp,312,67,53,6890,text
3,2024-06-19,LinkedIn,Công Cụ Hướng Dẫn,Hướng dẫn setup Google Analytics 4 trong 15 phút cho người mới,156,31,45,3780,carousel
4,2024-06-20,LinkedIn,Phân Tích Dữ Liệu,Cách đọc Facebook Insights: 5 tab quan trọng nhất,98,22,15,2340,text
5,2024-06-21,Facebook,Câu Chuyện Nghề,Từ content writer đến marketing manager trong 5 năm - timeline thật,245,58,41,5670,image
6,2024-06-22,Blog,Chuyên Môn Marketing,So sánh chi tiết Google Ads vs Facebook Ads cho SME Việt Nam,89,15,32,1890,article
7,2024-06-23,Facebook,Thương Hiệu Cá Nhân,1 năm viết LinkedIn: 0 đến 4000 follower và những con số thật,198,44,36,4120,image
8,2024-06-24,LinkedIn,Chuyên Môn Marketing,5 xu hướng digital marketing 2024 mà marketer Việt cần biết,223,51,39,5230,carousel
9,2024-06-25,LinkedIn,Câu Chuyện Nghề,3 lần bị sếp reject ý tưởng - mình đã phản ứng thế nào,267,63,47,6150,text
10,2024-06-26,Facebook,Công Cụ Hướng Dẫn,5 công cụ SEO miễn phí mình dùng hàng ngày để check website,178,38,52,4890,carousel
11,2024-06-27,LinkedIn,Phân Tích Dữ Liệu,Data storytelling: biến báo cáo nhàm chán thành insight hành động,134,29,23,3120,text
12,2024-06-28,Facebook,Câu Chuyện Nghề,Ngày đầu tiên đi làm marketing: reality check vs kỳ vọng,289,71,44,7230,text
13,2024-06-29,Blog,Công Cụ Hướng Dẫn,So sánh Mailchimp vs Brevo: email marketing tool nào cho người mới,76,12,28,1560,article
14,2024-06-30,Facebook,Thương Hiệu Cá Nhân,Behind the scenes: quy trình viết 1 bài LinkedIn của mình,167,35,29,3890,image
15,2024-07-01,LinkedIn,Chuyên Môn Marketing,Cách xây dựng marketing funnel đơn giản cho doanh nghiệp nhỏ,201,46,34,4780,carousel
