STT,Ngay_Dang,Nen_Tang,Chu_De,Noi_Dung_Tom_Tat,So_Luot_Thich,So_Binh_Luan,So_Chia_Se,So_Luot_Xem,Loai_Noi_Dung
1,2024-01-08,LinkedIn,Marketing,5 xu hướng Digital Marketing không thể bỏ qua năm 2024 — từ AI content đến short-form video,187,42,35,4200,Carousel
2,2024-01-15,Facebook,Thương hiệu cá nhân,Tại sao mình quyết định xây dựng thương hiệu cá nhân sau 3 năm làm marketing 'thầm lặng',124,38,28,3100,Bài viết
3,2024-01-22,LinkedIn,Phân tích dữ liệu,Hướng dẫn đọc báo cáo Google Analytics 4 cho người mới — 10 chỉ số quan trọng nhất,215,56,67,5800,Infographic
4,2024-02-05,Facebook,Content Marketing,3 công thức viết hook cho bài đăng Facebook — áp dụng ngay được luôn,89,24,15,2100,Bài viết
5,2024-02-14,LinkedIn,Marketing,Case study: Cách mình giúp một shop online tăng 150% đơn hàng chỉ với email marketing,312,78,92,8500,Bài viết
6,2024-02-20,Facebook,Câu chuyện nghề,Ngày Valentine chia sẻ về 'mối tình' với nghề marketing — có lúc muốn bỏ cuộc nhưng rồi lại yêu,67,31,12,1800,Story
7,2024-03-04,LinkedIn,SEO,Checklist SEO on-page 2024 — 15 bước tối ưu bài viết blog chuẩn Google,178,45,58,4600,Carousel
8,2024-03-11,Facebook,Quảng cáo số,Sai lầm phổ biến khi chạy Facebook Ads mà 80% người mới đều mắc phải,142,52,41,3800,Video
9,2024-03-18,LinkedIn,Thương hiệu cá nhân,Mình đã xây dựng 4.000 followers LinkedIn trong 8 tháng như thế nào — chia sẻ thật 100%,256,89,74,7200,Bài viết
10,2024-04-02,Facebook,Công cụ,Review 5 công cụ AI miễn phí giúp tạo content marketing nhanh gấp 3 lần,198,63,55,5100,Carousel
11,2024-04-10,LinkedIn,Phân tích dữ liệu,Cách tạo dashboard marketing đơn giản bằng Google Data Studio — hướng dẫn từng bước,145,37,43,3900,Video
12,2024-04-22,Facebook,Marketing,Tổng hợp những bài học marketing từ Tết 2024 — chiến dịch nào thành công và tại sao,28,8,5,890,Bài viết
13,2024-05-06,LinkedIn,Content Marketing,Framework AIDA trong viết content — lý thuyết cũ nhưng vẫn hiệu quả nếu biết cách áp dụng,167,41,38,4100,Infographic
14,2024-05-13,Facebook,Câu chuyện nghề,Buổi đào tạo đầu tiên của mình — run lắm nhưng feedback của học viên làm mình vui cả tuần,95,47,19,2400,Story
15,2024-05-20,LinkedIn,Marketing,So sánh chi tiết Google Ads vs Meta Ads — khi nào nên dùng cái nào cho SME Việt Nam,223,58,65,6100,Carousel
16,2024-06-03,Facebook,Thương hiệu cá nhân,7 điều mình ước ai đó nói cho mình biết trước khi bắt đầu xây dựng thương hiệu cá nhân,112,35,22,2800,Bài viết
17,2024-06-10,LinkedIn,Email Marketing,Mẫu email nurture 5 bước giúp chuyển đổi lead thành khách hàng — kèm template miễn phí,189,44,71,5300,Bài viết
18,2024-06-17,Facebook,Công cụ,Canva vs Figma — công cụ nào phù hợp hơn cho marketer không chuyên thiết kế,15,6,3,520,Bài viết
19,2024-06-24,LinkedIn,Phân tích dữ liệu,A/B testing cho người mới: Cách chạy thử nghiệm đầu tiên mà không cần biết code,134,32,29,3500,Video
20,2024-06-30,Facebook,Marketing,Tổng kết 6 tháng đầu năm 2024: Những con số và bài học từ hành trình xây dựng thương hiệu cá nhân,203,72,48,5700,Infographic
