STT,Ma_Bai,Ngay_Dang,Nen_Tang,Tieu_De,Impressions,Clicks,CTR,Likes,Comments,Shares,Saves,Engagement_Rate
1,POST-001,2024-01-08,LinkedIn,5 xu hướng Digital Marketing 2024,8400,378,4.5%,187,42,35,56,3.8%
2,POST-002,2024-01-15,Facebook,Tại sao xây dựng thương hiệu cá nhân,6200,186,3.0%,124,38,28,31,3.6%
3,POST-003,2024-01-22,LinkedIn,Hướng dẫn Google Analytics 4,11600,522,4.5%,215,56,67,89,3.7%
4,POST-004,2024-02-05,Facebook,3 công thức viết hook Facebook,4200,126,3.0%,89,24,15,18,3.5%
5,POST-005,2024-02-14,LinkedIn,Case study email marketing tăng 150% đơn,17000,850,5.0%,312,78,92,124,3.6%
6,POST-006,2024-02-20,Facebook,Ngày Valentine và tình yêu với nghề,3600,72,2.0%,67,31,12,8,3.3%
7,POST-007,2024-03-04,LinkedIn,Checklist SEO on-page 2024,9200,460,5.0%,178,45,58,73,3.8%
8,POST-008,2024-03-11,Facebook,Sai lầm khi chạy Facebook Ads,7600,304,4.0%,142,52,41,47,3.7%
9,POST-009,2024-03-18,LinkedIn,Xây dựng 4000 followers LinkedIn,14400,720,5.0%,256,89,74,98,3.6%
10,POST-010,2024-04-02,Facebook,Review 5 công cụ AI cho content,10200,408,4.0%,198,63,55,62,3.7%
11,POST-011,2024-04-10,LinkedIn,Tạo dashboard Google Data Studio,7800,312,4.0%,145,37,43,51,3.5%
12,POST-012,2024-04-22,Facebook,Bài học marketing từ Tết 2024,1780,36,2.0%,28,8,5,3,2.5%
13,POST-013,2024-05-06,LinkedIn,Framework AIDA trong viết content,8200,328,4.0%,167,41,38,44,3.5%
14,POST-014,2024-05-13,Facebook,Buổi đào tạo đầu tiên của mình,4800,96,2.0%,95,47,19,14,3.6%
15,POST-015,2024-05-20,LinkedIn,So sánh Google Ads vs Meta Ads,12200,610,5.0%,223,58,65,81,3.5%
16,POST-016,2024-06-03,Facebook,7 điều trước khi xây thương hiệu cá nhân,5600,168,3.0%,112,35,22,27,3.5%
17,POST-017,2024-06-10,LinkedIn,Mẫu email nurture 5 bước,10600,530,5.0%,189,44,71,86,3.7%
18,POST-018,2024-06-17,Facebook,Canva vs Figma cho marketer,1040,21,2.0%,15,6,3,2,2.5%
19,POST-019,2024-06-24,LinkedIn,A/B testing cho người mới,7000,280,4.0%,134,32,29,38,3.3%
20,POST-020,2024-06-30,Facebook,Tổng kết 6 tháng xây thương hiệu,11400,456,4.0%,203,72,48,65,3.4%
