STT,Ma_Bai,Ngay_Dang,Nen_Tang,Tieu_De,Impressions,Clicks,CTR,Likes,Comments,Shares,Saves,Engagement_Rate
1,LI-0617,2024-06-17,LinkedIn,3 chỉ số marketing mình xem mỗi sáng,4520,312,6.90,187,42,28,15,6.02
2,FB-0618,2024-06-18,Facebook,Lần đầu chạy ads mất 10 triệu,6890,478,6.94,312,67,53,22,6.59
3,LI-0619,2024-06-19,LinkedIn,Hướng dẫn setup GA4 trong 15 phút,3780,245,6.48,156,31,45,18,6.61
4,LI-0620,2024-06-20,LinkedIn,Cách đọc Facebook Insights,2340,134,5.73,98,22,15,8,6.11
5,FB-0621,2024-06-21,Facebook,Từ content writer đến marketing manager,5670,389,6.86,245,58,41,19,6.40
6,BL-0622,2024-06-22,Blog,So sánh Google Ads vs Facebook Ads,1890,156,8.25,89,15,32,24,8.47
7,FB-0623,2024-06-23,Facebook,1 năm viết LinkedIn: con số thật,4120,267,6.48,198,44,36,14,7.09
8,LI-0624,2024-06-24,LinkedIn,5 xu hướng digital marketing 2024,5230,356,6.81,223,51,39,21,6.39
9,LI-0625,2024-06-25,LinkedIn,3 lần bị sếp reject ý tưởng,6150,423,6.88,267,63,47,25,6.54
10,FB-0626,2024-06-26,Facebook,5 công cụ SEO miễn phí mình dùng,4890,334,6.83,178,38,52,20,5.89
11,LI-0627,2024-06-27,LinkedIn,Data storytelling biến báo cáo thành insight,3120,198,6.35,134,29,23,11,6.31
12,FB-0628,2024-06-28,Facebook,Ngày đầu tiên đi làm marketing,7230,512,7.08,289,71,44,18,5.83
13,BL-0629,2024-06-29,Blog,So sánh Mailchimp vs Brevo,1560,134,8.59,76,12,28,21,8.78
14,FB-0630,2024-06-30,Facebook,Behind the scenes viết bài LinkedIn,3890,245,6.30,167,35,29,12,6.24
15,LI-0701,2024-07-01,LinkedIn,Marketing funnel cho doanh nghiệp nhỏ,4780,312,6.53,201,46,34,17,6.23
