STT,Ngay,Nguon,Noi_Dung_Phan_Hoi,Diem_Hai_Long,Chu_De_Lien_Quan,Hanh_Dong_De_Xuat
1,2024-06-17,LinkedIn Comment,Bài viết rất hữu ích! Mình cũng đang tập đọc số liệu mỗi sáng,5,Phân Tích Dữ Liệu,Viết thêm bài hướng dẫn đọc dashboard
2,2024-06-17,LinkedIn DM,Chị ơi cho em hỏi CTR bao nhiêu là tốt ạ?,4,Phân Tích Dữ Liệu,Tạo bài FAQ về các chỉ số marketing
3,2024-06-18,Facebook Comment,Em cũng từng mất tiền chạy ads mà không hiểu tại sao. Cảm ơn chị đã chia sẻ!,5,Câu Chuyện Nghề,Tiếp tục series chia sẻ thất bại
4,2024-06-18,Facebook Comment,Bài dài quá chị ơi đọc không hết,2,Câu Chuyện Nghề,Rút ngắn bài Facebook xuống dưới 400 từ
5,2024-06-19,LinkedIn Comment,Carousel rất dễ hiểu! Mong chị làm thêm nhiều bài dạng này,5,Công Cụ Hướng Dẫn,Tăng tần suất bài carousel
6,2024-06-20,LinkedIn Comment,Bài hay nhưng hơi thiếu ví dụ thực tế,3,Phân Tích Dữ Liệu,Thêm screenshot thực tế vào bài
7,2024-06-21,Facebook DM,Chị có thể chia sẻ thêm về lộ trình nghề marketing không ạ?,4,Câu Chuyện Nghề,Viết bài chi tiết về career path marketing
8,2024-06-22,Blog Comment,Bài so sánh rất chi tiết và khách quan. Bookmark lại để đọc kỹ,5,Chuyên Môn Marketing,Viết thêm bài so sánh công cụ
9,2024-06-23,Facebook Comment,Truyền cảm hứng quá! Em cũng muốn bắt đầu viết LinkedIn,5,Thương Hiệu Cá Nhân,Tạo hướng dẫn viết bài LinkedIn đầu tiên
10,2024-06-24,LinkedIn Comment,Xu hướng AI trong marketing thì chị có thể phân tích sâu hơn không?,4,Chuyên Môn Marketing,Viết series về AI trong marketing
11,2024-06-25,LinkedIn DM,Câu chuyện của chị rất relatable. Em cũng hay bị reject ý tưởng,5,Câu Chuyện Nghề,Chia sẻ thêm cách deal với rejection
12,2024-06-26,Facebook Comment,Cảm ơn chị! Em đã thử dùng Ubersuggest theo hướng dẫn và thấy hiệu quả,5,Công Cụ Hướng Dẫn,Viết thêm bài hướng dẫn công cụ thực hành
13,2024-06-27,LinkedIn Comment,Bài về data storytelling hay nhưng cần ví dụ cụ thể hơn,3,Phân Tích Dữ Liệu,Thêm case study data storytelling thực tế
14,2024-06-28,Facebook Comment,Đúng vậy! Thực tế đi làm khác xa trường lớp,4,Câu Chuyện Nghề,Viết thêm bài thực tế vs kỳ vọng
15,2024-06-29,Blog Comment,Bài viết giúp em quyết định chọn Brevo thay vì Mailchimp,5,Công Cụ Hướng Dẫn,Tiếp tục series so sánh công cụ
16,2024-06-30,Facebook DM,Chị ơi cho em xin template content calendar được không ạ?,4,Thương Hiệu Cá Nhân,Tạo template miễn phí cho follower
17,2024-07-01,LinkedIn Comment,Marketing funnel bài viết quá hay! Mong chị viết thêm về từng giai đoạn,5,Chuyên Môn Marketing,Tạo series chi tiết về marketing funnel
18,2024-06-20,Facebook Comment,Font chữ trong infographic hơi nhỏ khó đọc trên điện thoại,2,Công Cụ Hướng Dẫn,Tăng kích thước font trong infographic mobile
19,2024-06-25,LinkedIn Comment,Hashtag của chị dùng rất tốt dễ tìm bài viết,4,Thương Hiệu Cá Nhân,Giữ nguyên chiến lược hashtag
20,2024-06-28,Facebook DM,Em muốn học marketing nhưng không biết bắt đầu từ đâu,3,Chuyên Môn Marketing,Viết bài roadmap học marketing cho người mới
