Thu,Ngay,Nen_Tang,Chu_De,Tru_Cot_Noi_Dung,Loai_Bai,Gio_Dang,Trang_Thai
Thứ 2,2024-07-01,LinkedIn,Xu hướng marketing AI,Chuyên môn,Bài viết,08:00,Xong
Thứ 3,2024-07-02,Facebook,Tips viết content,Giáo dục,Carousel,12:00,Done
Thứ 2,2024-07-01,LinkedIn,Xu hướng marketing AI,Chuyên môn,Bài viết,08:00,Xong
Thứ 4,tuần sau,linkedin,Case study phân tích dữ liệu,Chuyên môn,Infographic,09:00,Lên kế hoạch
Thứ 5,32/13/2024, Facebook ,Câu chuyện nghề của tôi,Câu chuyện,Story,,Hoàn thành
Thứ 6,2024-07-05,LinkedIn,Hướng dẫn SEO cơ bản,Giáo dục,Video,25:00,xong rồi
Thứ 7,ngày mai,LI,Hỏi đáp cộng đồng,Tương tác,Bài viết,14:00,Lên kế hoạch
,2024-07-07,Facebook,,Giải trí,Story,20:00,
Thứ 2,2024-07-08,LINKEDIN,Phân tích Google Ads,Chuyên môn,  Bài viết  ,08:00,Done
Thứ 3,2024/07/09,fb,Content marketing cho SME,Giáo dục,Carousel,12:00,Hoàn thành
Thứ 4,2024-07-10,LinkedIn,Review công cụ AI mới,123,Infographic,09:00,Xong
Thứ 5,2024-07-11,Facebook,Email marketing tips,Giáo dục,Video,sáng,đã xong
