kind	session	path	pages	note
html	outline	assets/source-materials/original/Khoá AGENTIC AI.html	n/a	11 lessons plus project presentation outline
pdf	1	assets/source-materials/original/AI4A01_Slide buổi 1.pdf	51	system overview
pdf	2	assets/source-materials/original/MindX_AG_Slide 2.pdf	23	PDCA operation
pdf	3	assets/source-materials/original/MindX_AG_Slide 3.pdf	25	expertise skills
pdf	4	assets/source-materials/original/MindX_AG_Lesson 4.pdf	30	OIPO workflow
pdf	5	assets/source-materials/original/MindX_AG_Slide 5.pdf	25	MICRO agent
pdf	6	assets/source-materials/original/MindX_AG_Slide 6.pdf	26	knowledge and rules
pdf	7	assets/source-materials/original/MindX_AG_Slide 7.pdf	26	handoff and checkpoints
pdf	8	assets/source-materials/original/MindX_AG_Slide 8.pdf	35	organization and audit
pdf	9	assets/source-materials/original/MindX_AG_Slide 9.pdf	25	debugging
pdf	10	assets/source-materials/original/MindX_AG_Lesson 10.pdf	30	SCOPE capstone
pdf	11	assets/source-materials/original/MindX_AG_Slide 11.pptx.pdf	34	system assembly
missing	12	n/a	n/a	project presentation has no source PDF in current folder
